codigo;categoria;marca;nuevo;descuento;producto;precio;inventario
11034841;5;8;0;0;LLANTA 400X8 TT CALLE QUEEN AUTECO MOBILITY  XXX396;71000;1
11034920;5;11;0;0;LLANTA 90X90X18 TL QUEEN AUTECO MOBILITY  XXX345;125000;1
11036902;5;5;0;0;LLANTA 110X90X17 TT LAG MRX QUEEN AUTECO MOBILITY  XXX552;149000;23
11048641;5;21;0;0;LLANTA 130X70X17 TL PIS MAXIONE AUTECO MOBILITY  XXX500;196000;2
11048660;5;28;0;0;LLANTA 250X18 TL PIS QUEEN AUTECO MOBILITY  XXX476;89000;2
11052696;5;30;0;0;LLANTA 100X80X17 TL PIS QUEEN AUTECO MOBILITY  XXX211;135000;3
11056321;5;26;0;0;LLANTA 140X60X17 TL PIS MRF R17 AUTECO MOBILITY  XXX50;285000;3
11056323;5;8;0;0;LLANTA 140X60X17 TL PIS MRF VEZT ATT 625 AUTECO MOBILITY  XXX58;285000;1
11066316;5;17;0;0;LLANTA 100X80X17 TL PIS TVS EUROGRIP AUTECO MOBILITY  XXX461;145000;10
11069910;5;9;0;0;LLANTA 130X70X12 TL PIS IRC AUTECO MOBILITY  XXX107;209000;5
11069911;5;10;0;0;LLANTA 120X70X12 TL PIS IRC AUTECO MOBILITY  XXX101;195000;4
11069936;5;14;0;0;LLANTA 110X80X18 TT LAG MT90 PIRELLI AUTECO  XXX132;329000;2
1109016;5;20;0;0;LLANTA 110X90X16 TL MOR CITYSTONE REDEMOTOS  XXX19;139000;8
11213;5;21;0;0;LLANTA 110X80X17 TL LAG KENDA MOTOLANDIA  XXX544;179000;3
11216;5;12;0;0;LLANTA 90X90X17 TL LAG KENDA MOTOLANDIA;159000;1
13070170;5;22;0;0;LLANTA 130X70X17 TL PIS TVS TIRES AUTECO  XXX444;185000;1
15970200;5;15;0;0;LLANTA 130X70X12 TL PIS BRIDGESTONE  XXX491;129000;2
17422;5;9;0;0;LLANTA 120X80X18 TL LAG HIGH SPEED KENDA MOTOLANDIA  XXX53;209000;1
1811080;5;25;0;0;LLANTA 110X80X18 TL PIS MT 75 PIRELLI  XXX142;175000;1
1812090;5;5;0;0;LLANTA 120X90X18 TL PIS METZELER AKT  XXX138;155000;1
19227;5;27;0;0;LLANTA 130X80X17 TT LAG SPORT KENDA MOTOLANDIA  XXX173;238000;3
1925;5;29;0;0;LLANTA 275X17 TT MOR KENDA  XXX214;85000;15
19264;5;25;0;0;LLANTA 100X70X17 TL PIS KENDA AKITA  XXX460;139000;4
205110050;5;4;0;0;LLANTA CUATRIMOTO 21X7X10 TL HAKUBA MERLIN XXX7;198000;2
